rank,lambda,gamma,alpha,train_avg,train_std,val_avg,val_std,test_avg
250,0.020,0.30,1.00,7.791993,0.404272,9.276067,1.310387,8.382604
251,0.020,0.15,1.00,7.831963,0.415044,9.279240,1.299377,8.349380
252,0.020,0.05,1.50,7.860532,0.410012,9.280135,1.279723,8.316898
253,0.020,0.05,2.00,7.860223,0.410175,9.280880,1.277206,8.313841
254,0.010,0.20,0.30,7.857362,0.405236,9.281295,1.293329,7.633437
255,0.010,0.30,0.30,7.845804,0.399820,9.281419,1.320833,7.641371
256,0.010,0.15,1.50,7.865524,0.404385,9.281989,1.287625,7.641783
257,0.020,0.20,1.50,7.806859,0.403719,9.284861,1.286536,8.333124
258,0.010,0.15,2.00,7.865152,0.405022,9.286543,1.281544,7.644858
259,0.010,0.30,0.60,7.843955,0.400816,9.287276,1.324094,7.630921
260,0.010,0.15,3.00,7.869859,0.402077,9.287865,1.283070,7.644858
261,0.010,0.20,2.00,7.849876,0.398867,9.287989,1.287649,7.601343
262,0.010,0.15,0.30,7.867661,0.406238,9.288641,1.292493,7.630696
263,0.020,0.15,1.50,7.828205,0.416886,9.288711,1.282383,8.360398
264,0.020,0.10,1.00,7.855714,0.408582,9.289869,1.299969,8.349647
265,0.010,0.20,3.00,7.856383,0.397111,9.292112,1.287844,7.601343
266,0.020,0.20,3.00,7.811913,0.403305,9.292588,1.273866,8.333216
267,0.020,0.05,1.00,7.860497,0.410261,9.293107,1.304783,8.295059
268,0.010,0.10,1.00,7.884826,0.404861,9.294241,1.310420,7.640752
269,0.010,0.20,0.60,7.854293,0.405787,9.295736,1.303299,7.626516
270,0.010,0.05,1.50,7.891637,0.399627,9.296753,1.300215,7.602899
271,0.010,0.15,0.60,7.866864,0.406426,9.297479,1.294895,7.640272
272,0.020,0.10,3.00,7.851958,0.410588,9.297495,1.274800,8.365875
273,0.010,0.05,2.00,7.891299,0.399688,9.298250,1.298774,7.599842
274,0.020,0.15,3.00,7.831605,0.415632,9.298368,1.272116,8.363474
275,0.020,0.05,0.60,7.865253,0.408802,9.298428,1.288906,8.294106
276,0.020,0.10,1.50,7.852682,0.410503,9.298752,1.280913,8.372053
277,0.010,0.10,0.30,7.882659,0.400480,9.299886,1.299190,7.628146
278,0.010,0.05,3.00,7.891263,0.399681,9.300389,1.298762,7.599842
279,0.020,0.20,2.00,7.805716,0.404450,9.302155,1.267079,8.333216
280,0.020,0.30,0.60,7.801506,0.399145,9.303309,1.299878,8.381813
281,0.020,0.05,0.30,7.864093,0.409448,9.303383,1.288674,8.311235
282,0.020,0.10,0.30,7.855598,0.409360,9.303420,1.288162,8.319997
283,0.010,0.10,1.50,7.886257,0.406152,9.304905,1.289359,7.644150
284,0.020,0.10,0.60,7.857108,0.408092,9.304952,1.293796,8.316559
285,0.020,0.15,2.00,7.827460,0.418332,9.306211,1.270990,8.363474
286,0.020,0.30,2.00,7.784324,0.399960,9.306631,1.275968,8.389273
287,0.020,0.20,0.30,7.828204,0.406103,9.306847,1.293916,8.337709
288,0.020,0.15,0.30,7.842923,0.416322,9.307699,1.290504,8.328753
289,0.020,0.10,2.00,7.851971,0.410712,9.308747,1.274297,8.365875
290,0.010,0.05,1.00,7.889505,0.398138,9.308841,1.326207,7.601189
291,0.010,0.10,0.60,7.884403,0.404408,9.309825,1.305682,7.624709
292,0.020,0.30,0.30,7.803508,0.403294,9.310211,1.305524,8.363037
293,0.010,0.05,0.30,7.892317,0.397503,9.311065,1.315420,7.625582
294,0.020,0.15,0.60,7.840533,0.417184,9.311351,1.287090,8.338329
295,0.010,0.05,0.60,7.893819,0.396403,9.312314,1.314523,7.608453
296,0.010,0.10,3.00,7.885478,0.406291,9.315470,1.285517,7.637972
297,0.020,0.20,0.60,7.821301,0.405521,9.316153,1.306402,8.330788
298,0.010,0.10,2.00,7.885398,0.406275,9.316435,1.285683,7.637972
299,0.010,0.30,3.00,7.842781,0.391877,9.323601,1.247081,7.606492
300,0.020,0.30,3.00,7.790661,0.398594,9.356260,1.207902,8.389273
